calibration_peak_state_bytes,calibration_size,clean_marginal_attenuation_rate,clean_target_correlation_error,clean_target_scale_scatter_error,contaminated_calibration_rows,contaminated_cells,diagnostics,effective_n,elapsed_seconds,k,marginal_clipped_coordinates,marginal_lambda,marginal_retained_contamination_rate,method,n,output_bytes,p,parallel_clipped_rows,parallel_lambda,rank,residual_clipped_rows,residual_lambda,scenario,seed,spectrum,state_bytes,status,subspace_error,throughput_rows_per_second,tier,transformed_target_compression_error,transformed_target_scatter_compression_error
0,512,0.0008871461965556343,3.24938445293465,0.9970667330767069,0,109988,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.338126976,20,0,3.0,0.2128595846819653,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,weak,387200,completed,0.9485824585431538,17744.81312014573,oracle_ablation,3.36838649801157,0.998210244323291
0,512,0.0008871461965556343,2.362540658534286,0.9919002875691827,0,109988,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.440246346,40,0,3.0,0.2128595846819653,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,cellwise_cauchy,500,weak,451200,completed,0.9284506043112705,13628.733218378602,oracle_ablation,2.4445166288396423,0.9950699736488721
0,512,0.004324894514767932,10.61531266524069,1.0246989006415421,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.270152674,10,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,weak,355200,completed,0.9495495723188861,22209.66356231588,oracle_ablation,7.3328404724198375,0.8492839241632975
0,512,0.004324894514767932,10.557783976219575,1.1762523238787554,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.298983359,20,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,weak,387200,completed,0.9492745304092767,20068.006527413454,oracle_ablation,7.287432464461493,0.6992362861795777
0,512,0.004324894514767932,9.590569696919761,1.2833363545712249,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.449738582,40,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,bounded_out_of_subspace,500,weak,451200,completed,0.8397129047105979,13341.083554179037,oracle_ablation,6.546883817306889,0.6547655543749181
0,512,0.005001834525775087,9.749095005237388,0.9820009432250815,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.229523153,10,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,weak,355200,completed,0.9138340812433574,26141.15361163586,oracle_ablation,7.322082839954582,0.9204582016046634
0,512,0.005001834525775087,10.187128578505495,1.0371956808556202,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.318842811,20,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,weak,387200,completed,0.9064410752214426,18818.050126900933,oracle_ablation,7.674156313886689,0.7564941460287963
0,512,0.005001834525775087,9.178731375701162,1.1098214351829068,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.442878513,40,0,3.0,1.0,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,in_subspace_leverage,500,weak,451200,completed,0.8183820241504195,13547.733348716334,oracle_ablation,6.855934789142552,0.7068938405228966
0,512,0.003988259035039442,10.560965380007483,1.0045873613645653,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.276678928,10,0,3.0,0.9602367941712204,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,mixed,500,weak,355200,completed,0.9513008148047478,21685.785915723947,oracle_ablation,7.799674358997523,0.909574398307702
0,512,0.003988259035039442,10.526311077006403,1.124565538796719,0,109800,{'qualification': 'offline exact-MAD oracle ablation'},6000,0.274185229,20,0,3.0,0.9602367941712204,exact_mad_fd,6000,336000,200,0,4.0,10,0,1.5,mixed,500,weak,387200,completed,0.9469599395276644,21883.016900228424,oracle_ablation,7.768006898335295,0.7504047462899117
