attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
6807,270532992,1043.46528227,55099392,50,dual_bound,68579,1600000,10000,1077342208,20,in_subspace,500,12240000,completed,0.9771671029472985,65.72235910984048,pbmc
6807,0,888.028992803,35475456,50,rfd,68579,1600000,10000,304046080,20,in_subspace,500,8240008,completed,0.9254442356998043,77.22608220654519,pbmc
6807,0,1448.936967005,130281472,50,sketch_mad,68579,1600000,10000,369213440,20,in_subspace,500,14000024,completed,0.9824193362709888,47.33056134371051,pbmc
6807,0,881.257910772,41934848,50,vanilla_fd,68579,1600000,10000,304037888,20,in_subspace,500,8080000,completed,0.9710686892829251,77.81944327730731,pbmc
6807,270532992,554.336327279,27611136,50,dual_bound,68579,1600000,10000,1959358464,20,bounded_out_of_subspace,501,12240000,completed,0.9700490115009966,123.71370344178054,pbmc
6807,0,1378.562378955,33480704,50,rfd,68579,1600000,10000,1866588160,20,bounded_out_of_subspace,501,8240008,completed,0.9241305096433478,49.74675143244904,pbmc
6807,0,520.52396207,130043904,50,sketch_mad,68579,1600000,10000,370159616,20,bounded_out_of_subspace,501,14000024,completed,0.9841293682841801,131.74993851825306,pbmc
6807,0,1656.95041551,41947136,50,vanilla_fd,68579,1600000,10000,304013312,20,bounded_out_of_subspace,501,8080000,completed,0.9707449336936074,41.38868571929581,pbmc
6807,270532992,1021.099866555,54943744,50,dual_bound,68579,1600000,10000,1077424128,20,casewise,501,12240000,completed,0.9792568598115357,67.16189301970309,pbmc
6807,0,778.533844103,35303424,50,rfd,68579,1600000,10000,304386048,20,casewise,501,8240008,completed,0.9938377457331941,88.08737156316482,pbmc
6807,0,1479.241517747,130772992,50,sketch_mad,68579,1600000,10000,369786880,20,casewise,501,14000024,completed,0.9837965723114567,46.360921578547334,pbmc
6807,0,801.332832563,41967616,50,vanilla_fd,68579,1600000,10000,304357376,20,casewise,501,8080000,completed,0.9989692553847548,85.58116829015412,pbmc
68067,270532992,1105.802189695,55201792,50,dual_bound,68579,1600000,10000,1081200640,20,cellwise,501,12240000,completed,0.9920908246565482,62.01742105332177,pbmc
68067,0,874.351540483,35569664,50,rfd,68579,1600000,10000,307777536,20,cellwise,501,8240008,completed,0.9955625709211731,78.43412726432244,pbmc
